"","id","baseMeanA","baseMeanB","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ZN1","ZN2","ZN3","ZP1","ZP2","ZP3","gene_name"
"112","ENSG00000072682",1813.9144597783,4986.30122292291,3400.1078413506,1.38869453390006,0.134023794026225,10.361552170567,3.70893756565968e-25,7.41826969914549e-23,2016,2187,2081,3229,4824,5208,"P4HA2"
"113","ENSG00000086619",660.458561659237,1895.68073247452,1278.06964706688,1.44060101567696,0.139211616090599,10.3482816745653,4.26063859178705e-25,8.34419439210294e-23,844,828,637,1729,1770,1468,"ERO1B"
"114","ENSG00000100889",3009.2605550448,6409.17331027527,4709.21693266004,1.06080297591076,0.102557564988442,10.3434883231705,4.47929445889077e-25,8.6819809403717e-23,3397,3750,3313,4686,6372,5940,"PCK2"
"115","ENSG00000188313",2038.19747001038,4784.5023498539,3411.34990993214,1.18749942234716,0.115070237839285,10.31977898582,5.73550299851215e-25,1.10033869260231e-22,2332,2709,2087,3692,4169,4723,"PLSCR1"
"116","ENSG00000049249",11.3693056094619,231.595738686773,121.482522148118,2.93231048608563,0.28447987992032,10.3076199515654,6.50933830966254e-25,1.23618252080773e-22,10,22,9,278,179,136,"TNFRSF9"
"117","ENSG00000165030",637.00124385261,1833.93289773598,1235.4670707943,1.44592065861681,0.140301047923962,10.3058436128035,6.63073263848961e-25,1.24664404336243e-22,660,760,779,1293,1933,1659,"NFIL3"
"118","ENSG00000104856",156.391430637696,770.049198444497,463.220314541097,2.0352142059016,0.197712199875712,10.293822066524,7.51334929936463e-25,1.39859881363717e-22,161,239,152,800,676,523,"RELB"
"119","ENSG00000107159",229.539001410616,1168.49100346779,699.015002439201,2.07083202709375,0.201534163200642,10.2753398937732,9.10230198322703e-25,1.67284783960673e-22,294,234,262,619,1096,1406,"CA9"
"120","ENSG00000264063",154.156925521913,686.051430907333,420.104178214623,1.93625401340643,0.188449038755681,10.2746823554602,9.16458313278512e-25,1.67284783960673e-22,152,183,196,626,585,579,"CR392039"
"121","ENSG00000129353",2625.97547249926,5994.06637313047,4310.02092281487,1.15113036166962,0.112463807133776,10.2355628091119,1.37393978298925e-24,2.48379248653663e-22,2854,3229,3021,4357,5875,5657,"SLC44A2"
"122","ENSG00000106948",613.944983650292,1962.19409449506,1288.06953907268,1.56686039895457,0.15365400856245,10.1973284889457,2.03801267564917e-24,3.64920726808382e-22,596,876,676,1858,1675,1578,"AKNA"
"123","ENSG00000165507",70.6988981325117,479.308645422782,275.003771777647,2.31551627019809,0.228652955678358,10.1267716541363,4.20297265597493e-24,7.45472536839479e-22,65,97,84,244,490,553,"DEPP1"
"124","ENSG00000130702",1679.50630993976,4423.13337631262,3051.31984312619,1.33194416235733,0.131553717027106,10.1247170544249,4.29218330486999e-24,7.54180731914585e-22,2062,2083,1711,3184,3783,4687,"LAMA5"
"125","ENSG00000131668",31.9925781230595,253.290008556393,142.641293339726,2.43064392822738,0.240312972474333,10.1144932094209,4.76476527653386e-24,8.29466221889937e-22,38,38,35,182,221,265,"BARX1"
"126","ENSG00000143367",1587.67202894136,3569.38070309895,2578.52636602015,1.12894886572147,0.112905773947513,9.99903571137367,1.53888200935058e-23,2.60653339259462e-21,1633,2218,1704,2926,3409,3071,"TUFT1"
"127","ENSG00000197976",2220.69464588636,5071.61419225001,3646.15441906818,1.14833414731921,0.116040568637929,9.89597138999084,4.33382377951764e-23,7.2750197213135e-21,2488,3064,2234,4512,4902,3912,"AKAP17A"
"128","ENSG00000163734",0,105.096696850854,52.5483484254271,3.05678536559961,0.309556750379643,9.8747171943456,5.35838941279631e-23,8.9153167566357e-21,0,0,0,117,79,74,"CXCL3"
"129","ENSG00000163874",93.3677494316532,444.176323952164,268.772036691909,1.98254461276227,0.201351158952006,9.84620412954681,7.11816825126317e-23,1.17393580080701e-20,106,118,101,416,434,315,"ZC3H12A"
"130","ENSG00000105642",45.3752407368818,349.851412276843,197.613326506863,2.38224610045525,0.243161278134149,9.79697967840504,1.16002408719036e-22,1.88013903993672e-20,64,51,43,359,235,305,"KCNN1"
"131","ENSG00000070540",774.323528578613,2074.96227570385,1424.64290214123,1.34804647640127,0.13770319725097,9.78950745743686,1.24902832290247e-22,2.00709243580251e-20,781,1213,744,1697,2185,1614,"WIPI1"
"132","ENSG00000100292",5499.35358470866,15931.3498548353,10715.351719772,1.44328235130979,0.147517664649164,9.78379338326897,1.32162206268147e-22,2.10574715258256e-20,7203,7311,4831,10479,13459,18145,"HMOX1"
