"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MICU2",15.7722352316162,0.248147384051251,0.718841408500255,0.345204632227531,0.729940536562618,0.99882213502179
"MICU3",0.672812770119168,-0.045184409913264,2.58191676122688,-0.0175003356389356,0.986037465086853,NA
"MID1",10.7331107994925,1.26747442810657,0.83555711821502,1.51692134562176,0.129286543623726,0.99882213502179
"MID1IP1",44.8341219926165,-0.253310953719008,0.355088983620817,-0.713373169553204,0.475614871161128,0.99882213502179
"MID2",0.487551789032665,0.878947626255584,3.36709817243947,0.261040094835959,0.794061587650218,NA
"MIDN",7.82947470906867,-0.209088362408685,0.78124116891966,-0.2676361291838,0.788979418062895,0.99882213502179
"MIEF1",19.8136407231465,-0.392927105626799,0.524699467977977,-0.748861261744774,0.453940830986248,0.99882213502179
"MIEF2",3.81590669078268,0.885750945832861,1.05567212516465,0.839039816168979,0.401446966794701,NA
"MIEN1",44.2675161080021,0.648333792512102,0.374669269564111,1.73041625022082,0.0835559325516022,0.99882213502179
"MIER1",5.27884777444766,-0.185797555351977,0.905368639944577,-0.205217573433238,0.837402140015238,NA
"MIER2",4.18760646224908,-0.383388750558869,1.15858619481009,-0.330910856936037,0.740711820907422,NA
"MIER3",10.3236748462631,-0.0247362642935203,0.683837336006114,-0.0361727314246836,0.971144628925752,0.99882213502179
"MIF",1346.9184110274,-0.1987515446142,0.184048186729734,-1.07988863213337,0.28019177605031,0.99882213502179
"MIF4GD",5.97207520506784,-0.666149603890657,1.04217213948992,-0.639193448614639,0.522697093526142,NA
"MIIP",18.1645366435854,0.204239623663014,0.629889533518542,0.324246733426636,0.745751243449196,0.99882213502179
"MINA",10.067494194248,0.0428120174868482,0.816223780842169,0.0524513233891265,0.958169080214989,0.99882213502179
"MINK1",11.6355126509541,0.143149848044923,0.624903758105994,0.229075031455711,0.818810599513649,0.99882213502179
"MINOS1",3.31106655405228,0.569851510119239,1.08860981902919,0.52346717819193,0.600649185797564,NA
"MINPP1",12.0744707042615,0.107744581332868,0.632494177348975,0.17034873235429,0.86473588839945,0.99882213502179
"MIOS",14.9398825816875,-0.468730597634978,0.53925951440868,-0.869211548634353,0.384731431867485,0.99882213502179
"MIPEP",8.42047610974341,-0.0638605751684084,0.72320100590058,-0.0883026636403593,0.929636121948895,0.99882213502179
"MIPOL1",0.645604107085029,0.0538014011790951,4.00100245783046,0.0134469802871026,0.989271185373472,NA
"MIS12",11.4359191864226,-0.223674199140654,0.609019405918017,-0.367269412053454,0.713418067887269,0.99882213502179
"MIS18A",14.214254664911,-0.482266195839235,0.573641588955596,-0.840709957444466,0.400510440875376,0.99882213502179
"MIS18BP1",8.82884036742727,-0.406895844764956,0.753552652322867,-0.539970025333569,0.589217704207838,0.99882213502179
"MITD1",12.1840231784151,-0.077848384135232,0.695983129505601,-0.111853837880427,0.910939298863475,0.99882213502179
"MITF",7.15519432718842,0.578953999659905,2.09962110423666,0.275742131993092,0.782746132979187,0.99882213502179
"MKI67",19.4461433755886,-1.07364972959758,0.811943381997274,-1.32232093197994,0.186061305434213,0.99882213502179
"MKKS",19.1880185935537,0.138106602885106,0.530197822539583,0.260481271355647,0.794492560120485,0.99882213502179
"MKL1",6.47309397748628,0.352621243318207,0.826180086583393,0.426809177617009,0.669518321301529,NA
"MKL2",6.86321962355093,0.170863582458263,1.0021738736976,0.170492952313603,0.86462247646315,0.99882213502179
"MKLN1",15.2137569338258,-0.388211179631472,0.543387894313403,-0.714427361548044,0.474962957780777,0.99882213502179
"MKNK1",5.55825704335129,0.360671076237505,1.13999495699467,0.316379536615083,0.751714447286514,NA
"MKNK2",19.4639488380415,0.197283319895655,0.564796336850395,0.349299928175547,0.726864152366571,0.99882213502179
"MKRN1",41.6486108194067,0.177161257796856,0.382186750907329,0.463546309170235,0.642972829057628,0.99882213502179
"MKRN2",17.1659640565211,-0.282939946219847,0.618631613290485,-0.457364189189907,0.647409299548494,0.99882213502179
"MKRN3",4.98220457791174,-0.601130392234044,0.980300025343583,-0.613210626025798,0.539737079573203,NA
"MKS1",8.97896868896263,0.298596955013107,0.708133895377717,0.421667366810391,0.67326782694413,0.99882213502179
"MLANA",0,NA,NA,NA,NA,NA
"MLC1",48.3531078464957,-0.591094411782573,1.31217774945817,-0.450468247938704,0.652372844143124,0.99882213502179
"MLEC",71.1560784731036,0.35344771377899,0.308007806644948,1.14752842672726,0.251163291459886,0.99882213502179
"MLF1",13.3300192110891,-0.913876330110703,1.00813340685627,-0.90650336939087,0.364669482295422,0.99882213502179
"MLF2",45.1849548163012,-0.0202139791387215,0.377715554101631,-0.0535164065107113,0.957320458875813,0.99882213502179
"MLH1",21.9623238214205,0.817019353863441,1.15979849705362,0.704449398700736,0.481152951829541,0.99882213502179
"MLH3",3.46743460558735,0.13094120517636,1.34523852057759,0.097336794310751,0.922458937081797,NA
"MLIP",3.89535550211333,0.797859991604622,3.16368506354162,0.252193241609027,0.800891701701366,NA
"MLKL",1.60676664784485,-0.525061726662015,3.50838819835136,-0.149658959321762,0.881033689133753,NA
"MLLT1",11.1501156881609,-0.237844974369248,0.63285518330559,-0.37582843696865,0.707044445404261,0.99882213502179
"MLLT10",8.41247135742586,-0.756593837962095,0.739260129620774,-1.02344737345731,0.306096370344978,0.99882213502179
"MLLT11",16.8274959432706,-0.0564107837056006,0.865521856856647,-0.0651754583188345,0.948034300998232,0.99882213502179
"MLLT3",12.3098022904873,0.853553420413119,0.748936208788286,1.13968774696325,0.254416413760148,0.99882213502179
"MLLT4",18.9587304077104,-0.428202246302774,0.548215539057625,-0.781083744978934,0.434753241640197,0.99882213502179
"MLLT6",12.817308632759,-0.436539907409186,0.60359029604163,-0.723238776819363,0.469533199247036,0.99882213502179
"MLPH",0,NA,NA,NA,NA,NA
"MLST8",27.3338627129066,-0.101175219016293,0.419276890256002,-0.241308837590636,0.809315761846224,0.99882213502179
"MLX",20.9835309375524,-0.304019773878559,0.496221389699757,-0.612669627285733,0.540094809315044,0.99882213502179
"MLXIP",6.96534686513734,-0.290477765967647,0.828289824189514,-0.350695804155123,0.72581657368517,0.99882213502179
"MLXIPL",0,NA,NA,NA,NA,NA
"MLYCD",8.24236162624243,0.111481214961337,0.753210113889599,0.148008122707812,0.88233635785539,0.99882213502179
"MMAA",0,NA,NA,NA,NA,NA
"MMAB",8.94375473642409,-0.120021366787635,0.739266565646719,-0.162351947680251,0.8710287089216,0.99882213502179
"MMACHC",6.05805108867017,-0.541771022238736,0.982499066487318,-0.551421411702409,0.581344826076105,NA
"MMADHC",61.3521178990854,0.0600319456768006,0.313012178696025,0.191787891215247,0.847908356303337,0.99882213502179
"MMD",10.091067137054,0.416065770051465,0.652127512753738,0.638012906853975,0.523465278330568,0.99882213502179
"MME",0.329499470980301,1.83966668768681,4.03784836397755,0.455605689430748,0.648673551154654,NA
"MMGT1",16.3411374887124,-0.0345193833850928,0.60899916363627,-0.0566821523677983,0.954798391502501,0.99882213502179
"MMP1",0,NA,NA,NA,NA,NA
"MMP10",0,NA,NA,NA,NA,NA
"MMP11",9.53694890374629,0.311259345283773,1.20123386880367,0.259116358077518,0.795545463800522,0.99882213502179
